group,name,key,value
Nationality,STATI UNITI D'AMERICA,18A5,E31F
Nationality,SUDAFRICA,18A5,FBCE
Nationality,SUDAN,18A5,5533
Nationality,SVEZIA,18A5,EEE2
Nationality,SVIZZERA,18A5,3570
Nationality,SWAZILAND,18A5,B10E
Nationality,TAGIKISTAN,18A5,ACAF
Nationality,TANGANICA,18A5,02F0
Nationality,TANZANIA,18A5,B32A
Nationality,THAILANDIA,18A5,CDE5
Nationality,TOGO,18A5,B423
Nationality,TONGA,18A5,2BE2
Nationality,TRINIDAD E TOBAGO,18A5,759D
Nationality,TUNISIA,18A5,C85F
Nationality,TURCHIA,18A5,D5FD
Nationality,TURKMENISTAN,18A5,E603
Nationality,UCRAINA,18A5,ABBD
Nationality,UGANDA,18A5,2F5B
Nationality,UNGHERIA,18A5,136C
Nationality,URUGUAY,18A5,9ECF
Nationality,UZBEKISTAN,18A5,A64C
Nationality,VENEZUELA,18A5,664E
Nationality,VIETNAM,18A5,3A4A
Nationality,YEMEN,18A5,567D
Nationality,ZAIRE,18A5,9037
Nationality,ZAMBIA,18A5,1314
Nationality,ZIMBAWE,18A5,165C
